Date	Ping	Down	Up
20160620 10:30:00	13.527	93.19	26.12
20160620 11:00:00	13.365	90.86	28.47
20160620 11:30:00	12.857	93.23	24.66
20160620 12:00:00	36.533	90.77	27.85
20160620 12:30:00	14.257	89.86	27.78
20160620 13:00:00	13.398	92.99	27.38
20160620 13:30:00	12.823	93.01	27.38
20160620 14:00:01	13.429	91.09	25.56
20160620 14:30:00	12.974	64.90	25.09
20160620 15:00:00	16.925	81.57	24.05
20160620 15:30:00	12.764	79.41	27.71
20160620 16:00:00	14.769	76.22	21.69
20160620 16:30:00	13.68	66.55	20.19
20160620 17:00:00	183.498	12.82	17.88
20160620 17:30:00	290.786	27.83	22.91
20160620 18:00:00	not	configuration:	
20160620 18:30:00	16.274	8.65	17.57
20160620 19:00:00	188.094	5.77	15.84
20160620 19:30:00	28.959	6.12	14.17
20160620 20:00:01	212.643	1.89	10.93
20160620 20:30:00	66.067	1.39	9.65
20160620 21:00:00	216.971	9.56	15.14
20160620 21:30:01	78.03	1.42	11.02
20160620 22:00:00	32.056	17.19	14.69
20160620 22:30:00	39.312	40.77	20.57
20160620 23:00:00	27.039	28.72	19.88
20160620 23:30:00	24.652	54.90	23.53
20160621 00:00:01	not	configuration:	[Errno
20160621 00:30:00	15.225	94.14	27.49
20160621 01:00:00	72.658	94.20	27.88
20160621 01:30:00	12.817	93.43	25.29
20160621 02:00:00	12.925	94.24	28.73
20160621 02:30:00	12.866	94.47	26.13
20160621 03:00:00	12.696	94.52	27.54
20160621 03:30:01	12.883	94.32	23.20
20160621 04:00:01	12.839	94.41	26.25
20160621 04:30:00	12.704	94.26	29.37
20160621 05:00:00	14.746	94.28	23.81
20160621 05:30:00	12.909	94.00	26.92
20160621 06:00:00	13.295	94.49	23.78
20160621 06:30:00	12.812	94.57	25.24
20160621 07:00:01	12.792	94.25	27.30
20160621 07:30:00	12.852	94.42	27.73
20160621 08:00:00	12.979	94.28	29.74
20160621 08:30:00	13.129	94.39	25.72
20160621 09:00:00	15.171	94.29	27.85
20160621 09:30:00	13.985	94.21	29.21
20160621 10:00:00	13.295	94.45	28.19
20160621 10:30:00	13.428	94.25	26.86
20160621 11:00:00	12.919	93.87	25.67
20160621 11:30:00	12.874	89.10	22.49
20160621 12:00:00	12.912	91.48	26.58
20160621 12:30:00	12.891	83.03	24.91
20160621 13:00:00	14.66	92.89	23.29
20160621 13:30:00	18.038	73.31	21.67
20160621 14:00:00	12.969	85.53	27.28
20160621 14:30:00	13.089	92.07	26.96
20160621 15:00:00	13.013	87.53	27.48
20160621 15:30:00	13.571	89.55	28.46
20160621 16:00:01	15.673	77.15	24.80
20160621 16:30:00	62.409	8.60	19.04
20160621 17:00:00	25.862	19.20	21.62
20160621 17:30:01	30.391	8.71	15.16
20160621 18:00:00	29.326	17.01	16.76
20160621 18:30:00	22.387	36.57	23.73
20160621 19:00:00			
20160621 19:30:00	23.87	8.86	17.32
20160621 20:00:00	28.548	5.72	15.71
20160621 20:30:00			
20160621 21:00:00	31.609	5.27	12.29
20160621 21:30:00	31.817	4.17	14.48
20160621 22:00:00	28.605	6.26	19.12
20160621 22:30:00	34.172	15.78	17.66
20160621 23:00:00	21.91	37.78	23.11
20160621 23:30:00	21.349	62.05	22.97
20160622 00:00:01	not	configuration:	
20160622 00:30:00	12.581	93.57	27.25
20160622 01:00:00	15.225	94.20	26.16
20160622 01:30:00	13.999	94.39	28.70
20160622 02:00:00	12.81	94.26	28.44
20160622 02:30:00	12.994	94.23	23.89
20160622 03:00:00	13.397	94.27	27.18
20160622 03:30:00	13.171	93.73	28.76
20160622 04:00:00	13.395	94.24	27.49
20160622 04:30:00	13.054	94.08	28.01
20160622 05:00:01	71.008	94.11	29.26
20160622 05:30:00	13.755	92.21	26.04
20160622 06:00:00	13.233	93.39	27.06
20160622 06:30:00	12.801	94.27	24.68
20160622 07:00:01	13.575	93.78	23.93
20160622 07:30:00	12.965	94.33	27.28
20160622 08:00:00	12.824	93.10	26.63
20160622 08:30:00	13.409	94.19	26.92
20160622 09:00:00	14.817	94.41	26.37
20160622 09:30:00	15.463	94.12	25.93
20160622 10:00:00	12.514	93.03	24.38
20160622 10:30:00	12.887	94.17	27.24
20160622 11:00:00	13.166	86.32	26.84
20160622 11:30:00	13.172	91.37	25.28
20160622 12:00:00	12.661	54.45	22.37
20160622 12:30:00	13.154	87.31	26.37
20160622 13:00:01	12.768	88.65	29.28
20160622 13:30:00	12.737	90.86	27.33
20160622 14:00:00	12.906	92.61	27.08
20160622 14:30:00	13.168	86.95	23.80
20160622 15:00:01	14.18	81.31	28.00
20160622 15:30:00	12.743	76.94	26.87
20160622 16:00:00	12.92	79.52	26.07
20160622 16:30:00	17.651	52.77	23.75
20160622 17:00:00	19.055	33.52	21.66
20160622 17:30:00	23.474	52.38	23.27
20160622 18:00:00	20.934	9.41	20.24
20160622 18:30:00	36.557	8.13	14.32
20160622 19:00:00	117.233	2.93	12.42
20160622 19:30:00	337.922	4.02	10.17
20160622 20:00:00	57.801	3.43	12.67
20160622 20:30:01	72.493	3.16	12.28
20160622 21:00:00	98.879	1.22	11.28
20160622 21:30:00	395.297	3.26	16.75
20160622 22:00:01	17.902	29.45	19.11
20160622 22:30:00	204.05	23.69	15.33
20160622 23:00:01	16.309	24.23	20.62
20160622 23:30:00	25.187	55.20	23.50
20160623 00:00:00	13.37	85.29	25.02
20160623 00:30:00	13.052	93.59	26.51
20160623 01:00:00	12.788	94.12	24.67
20160623 01:30:00	13.367	94.18	29.21
20160623 02:00:00	12.848	94.27	22.49
20160623 02:30:00	12.926	94.24	28.56
20160623 03:00:00	15.065	94.26	23.37
20160623 03:30:00	12.683	94.13	28.30
20160623 04:00:00	13.162	94.31	26.25
20160623 04:30:00	13.064	94.17	28.49
20160623 05:00:00	12.794	94.53	26.51
20160623 05:30:00	12.612	94.25	27.69
20160623 06:00:00	17.011	94.37	25.65
20160623 06:30:00	12.634	94.00	26.33
20160623 07:00:00	141.53	94.47	29.22
20160623 07:30:00	12.785	94.38	27.94
20160623 08:00:00	12.356	94.06	25.56
20160623 08:30:00	13.429	94.41	26.06
20160623 09:00:00	12.983	94.30	25.84
20160623 09:30:00	13.34	93.33	28.11
20160623 10:00:00	12.863	93.27	27.14
20160623 10:30:00	12.967	91.96	28.97
20160623 11:00:01	12.861	92.47	25.40
20160623 11:30:00	13.271	88.35	28.02
20160623 12:00:01	12.857	91.72	29.50
20160623 12:30:00	12.843	92.37	27.31
20160623 13:00:00	13.993	77.98	25.52
20160623 13:30:00	12.842	89.39	26.15
20160623 14:00:01	12.854	89.06	25.26
20160623 14:30:00	14.762	90.36	29.36
20160623 15:00:00	12.999	85.01	26.47
20160623 15:30:00	12.87	64.35	26.73
20160623 16:00:00	13.114	66.01	25.00
20160623 16:30:00	13.8	60.79	25.66
20160623 17:00:00	78.721	3.36	18.04
20160623 17:30:00	23.837	7.95	10.68
20160623 18:00:00	24.748	15.03	23.28
20160623 18:30:00	39.937	12.17	14.36
20160623 19:00:00	21.753	11.86	17.30
20160623 19:30:00	58.812	4.28	22.61
20160623 20:00:00	554.965	1.60	15.11
20160623 20:30:00	221.449	3.58	12.36
20160623 21:00:00	45.373	2.48	13.03
20160623 21:30:00	33.707	9.43	16.91
20160623 22:00:00	30.666	6.32	17.01
20160623 22:30:01	17.707	18.95	17.99
20160623 23:00:01	17.779	54.93	25.63
20160623 23:30:00	14.972	69.63	25.35
20160624 00:00:00	17.097	85.76	29.13
20160624 00:30:00	17.695	82.55	27.60
20160624 01:00:00	13.486	83.53	27.02
20160624 01:30:00	12.434	79.22	27.41
20160624 02:00:00	13.26	90.85	27.61
20160624 02:30:00	12.956	94.13	28.22
20160624 03:00:00	13.166	94.50	25.62
20160624 03:30:01	12.936	94.34	28.14
20160624 04:00:00	13.164	94.31	28.14
20160624 04:30:00	12.938	94.31	25.93
20160624 05:00:00	12.705	94.44	26.89
20160624 05:30:00	12.979	94.44	29.22
20160624 06:00:00	12.877	94.44	27.41
20160624 06:30:00	12.863	94.23	26.51
20160624 07:00:00	13.137	94.09	26.45
20160624 07:30:00	12.898	94.40	27.95
20160624 08:00:00	86.891	94.30	28.86
20160624 08:30:00	13.226	93.93	27.34
20160624 09:00:00	13.969	93.37	26.31
20160624 09:30:00	12.9	94.35	27.22
20160624 10:00:00	13.606	92.22	27.54
20160624 10:30:00	15.238	87.31	23.92
20160624 11:00:00	14.95	87.07	29.25
20160624 11:30:00	13.505	84.20	27.51
20160624 12:00:00	79.049	78.34	25.59
20160624 12:30:00	24.355	78.84	25.57
20160624 13:00:00	76.655	47.33	18.55
20160624 13:30:00	14.24	28.18	25.91
20160624 14:00:00	20.634	60.75	27.97
20160624 14:30:00	76.291	12.65	26.06
20160624 15:00:00	15.417	41.91	21.46
20160624 15:30:00	12.684	46.19	24.19
20160624 16:00:00	217.437	3.56	15.59
20160624 16:30:00	238.298	0.51	6.73
20160624 17:00:00	363.52	4.62	14.56
20160624 17:30:00	54.34	1.22	16.20
20160624 18:00:00	23.341	5.00	15.84
20160624 18:30:00	208.793	6.30	16.09
20160624 19:00:00	37.229	5.40	17.86
20160624 19:30:00	206.49	1.47	10.69
20160624 20:00:01	49.609	3.16	17.27
20160624 20:30:00	25.613	3.19	15.55
20160624 21:00:00	71.529	2.57	15.23
20160624 21:30:00			
20160624 22:00:01	252.716	1.05	12.35
20160624 22:30:00	434.393	3.86	15.27
20160624 23:00:00	82.617	4.05	15.88
20160624 23:30:00	31.0	7.25	13.01
20160625 00:00:00	37.414	9.97	14.88
20160625 00:30:00	15.532	30.98	23.41
20160625 01:00:00	16.963	40.44	26.09
20160625 01:30:00	16.999	44.55	22.57
20160625 02:00:00	20.597	52.33	26.63
20160625 02:30:00	14.275	50.98	26.42
20160625 03:00:00	13.607	73.59	25.45
20160625 03:30:00	12.904	62.49	26.99
20160625 04:00:00	16.409	88.26	25.90
20160625 04:30:00	12.643	87.55	27.86
20160625 05:00:00	13.374	89.23	26.20
20160625 05:30:00	13.051	90.30	25.12
20160625 06:00:00	12.754	94.28	23.69
20160625 06:30:00	13.09	93.82	23.23
20160625 07:00:00	12.462	85.84	27.85
20160625 07:30:01	13.269	88.46	30.10
20160625 08:00:00	13.481	93.06	24.85
20160625 08:30:00	12.648	68.28	25.77
20160625 09:00:00	14.849	51.59	21.73
20160625 09:30:00	14.363	27.21	16.48
20160625 10:00:00	18.784	28.64	23.64
20160625 10:30:00	13.242	50.60	24.07
20160625 11:00:00	24.454	23.53	19.95
20160625 11:30:00	13.407	51.65	21.02
20160625 12:00:00	18.648	24.28	21.39
20160625 12:30:00	18.562	15.27	16.98
20160625 13:00:00	13.243	40.57	24.91
20160625 13:30:00	25.589	13.54	16.76
20160625 14:00:00	17.471	25.74	21.94
20160625 14:30:00	16.007	18.27	15.70
20160625 15:00:00	19.481	25.09	15.94
20160625 15:30:00	32.971	38.63	22.56
20160625 16:00:01	23.788	26.74	13.18
20160625 16:30:00	30.701	3.96	16.82
20160625 17:00:00	23.559	2.87	11.68
20160625 17:30:00	44.858	3.55	13.49
20160625 18:00:00	36.51	2.57	15.86
20160625 18:30:00	41.117	5.02	20.75
20160625 19:00:00	218.652	2.42	14.59
20160625 19:30:00	227.833	1.08	16.10
20160625 20:00:01	260.772	1.02	9.80
20160625 20:30:00	240.423	1.35	14.21
20160625 21:00:01	418.966	0.70	11.49
20160625 21:30:00	424.625	1.23	8.98
20160625 22:00:00	227.071	5.18	14.12
20160625 22:30:00	33.123	5.42	17.08
20160625 23:00:01	not	configuration:	
20160625 23:30:00	34.397	14.98	14.51
20160626 00:00:00	197.141	21.98	20.93
20160626 00:30:00	19.063	29.82	23.85
20160626 01:00:00	12.987	34.32	20.72
20160626 01:30:00	14.915	43.60	24.85
20160626 02:00:01	12.694	75.96	26.10
20160626 02:30:01	12.92	84.51	26.45
20160626 03:00:00	13.46	83.34	27.62
20160626 03:30:00	14.277	82.25	25.55
20160626 04:00:01	13.257	81.28	29.07
20160626 04:30:00	13.757	94.10	25.41
20160626 05:00:00	12.691	90.44	25.74
20160626 05:30:00	12.568	92.57	29.19
20160626 06:00:00	13.181	94.05	25.68
20160626 06:30:00	13.189	93.41	27.02
20160626 07:00:00	12.526	92.90	25.61
20160626 07:30:00	12.608	92.37	25.91
20160626 08:00:01	12.45	89.64	28.02
20160626 08:30:00	13.155	78.97	28.33
20160626 09:00:00	13.533	55.26	19.33
20160626 09:30:00	16.833	18.55	21.46
20160626 10:00:00	31.277	13.45	16.30
20160626 10:30:00	17.0	17.71	17.72
20160626 11:00:01	13.23	40.91	15.58
20160626 11:30:00	16.951	31.10	22.24
20160626 12:00:00	21.694	23.61	20.38
20160626 12:30:01	17.254	36.74	25.19
20160626 13:00:00	23.493	12.13	21.74
20160626 13:30:00	13.612	29.38	21.98
20160626 14:00:00	28.731	25.16	21.29
20160626 14:30:00	13.596	31.26	21.87
20160626 15:00:00	24.711	10.21	21.23
20160626 15:30:00	19.662	6.74	15.77
20160626 16:00:00	33.233	5.53	15.80
20160626 16:30:00	217.497	5.72	18.20
20160626 17:00:00	29.504	6.29	16.91
20160626 17:30:00	53.628	3.49	15.59
20160626 18:00:00	21.781	6.49	15.37
20160626 18:30:00	79.982	5.30	15.47
20160626 19:00:00	33.939	4.09	19.49
20160626 19:30:00	276.472	0.46	2.24
20160626 20:00:00	27.679	1.12	10.47
20160626 20:30:00			
20160626 21:00:00	37.483	0.88	7.86
20160626 21:30:00	55.677	1.24	12.43
20160626 22:00:00	29.3	2.84	16.24
